ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020
13,Argentina,AR,ARG,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,1968.7,2521.5,4204.6,4063.6,3851.73,3702.51,3637.448,4707.507,5176.232,5644.836,6300.456,7062.361,8003.4,10264.43,12188.74,15886.559,18771.934,26548.475,31742.246,45218.504,57156.691,76565.836,105088.406,119102.922,,
14,Argentina,AR,ARG,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,0.617,0.814,1.294,1.18,1.098,1.082,1.084,1.125,1.267,1.164,1.082,0.986,0.892,0.893,0.977,0.956,0.861,1.006,0.948,0.988,0.96,0.931,0.987,0.815,,
15,Argentina,AR,ARG,Taxes on Pollution,ECGTEP,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,Argentina,AR,ARG,Taxes on Pollution,ECGTEP,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,Argentina,AR,ARG,Taxes on Resources,ECGTER,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,Argentina,AR,ARG,Taxes on Resources,ECGTER,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,Argentina,AR,ARG,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,812,823,943,979,899,804,769,672,870,1031,1289,1576,1921,2508,3228,3598,4928,6409,9059,12005.54,17035,23941.012,34231.695,43773.941,57483.355,
20,Argentina,AR,ARG,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,0.254,0.266,0.29,0.284,0.256,0.235,0.229,0.161,0.213,0.213,0.221,0.22,0.214,0.218,0.259,0.217,0.226,0.243,0.271,0.262,0.286,0.291,0.322,0.3,0.266,
21,"Armenia, Rep. of",AM,ARM,Environmental Taxes,ECGTE,Domestic Currency,,,,,,,,,,,,,,,,,,,,,44289310550,41988108560,58406401750,70490695380,81566448910,62077900000
22,"Armenia, Rep. of",AM,ARM,Environmental Taxes,ECGTE,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.878123146425478,0.828610155697514,1.04962659852605,1.17151874697359,1.24656025491517,1.00422635387128
23,"Armenia, Rep. of",AM,ARM,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,,,,,,,,,,,,,,,,,,,,,285120240,315581370,310139670,305674280,257217300,262500000
24,"Armenia, Rep. of",AM,ARM,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.00565307247164604,0.00622780918452819,0.00557354737043173,0.00508014777776271,0.00393098960836681,0.00424642937166385
25,"Armenia, Rep. of",AM,ARM,Taxes on Pollution,ECGTEP,Domestic Currency,,,,,,,,,,,,,,,,,,,,,8560494270,7700026420,9598325610,11813980970,22500230740,6958200000
26,"Armenia, Rep. of",AM,ARM,Taxes on Pollution,ECGTEP,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.169728723928616,0.151955406174914,0.172492356312119,0.196342227979654,0.343865569014197,0.112561923252996
27,"Armenia, Rep. of",AM,ARM,Taxes on Resources,ECGTER,Domestic Currency,,,,,,,,,,,,,,,,,,,,,22695180580,20211168440,32673639220,42919631040,41789659120,47898900000
28,"Armenia, Rep. of",AM,ARM,Taxes on Resources,ECGTER,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.449976825832616,0.398855295040637,0.587180852926896,0.713301977026825,0.638661224334099,0.774854460306247
29,"Armenia, Rep. of",AM,ARM,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,,,,,,,,,,,,,,,,,,,,,12748515460,13761332330,15824297250,15451409090,17019341750,6958300000
30,"Armenia, Rep. of",AM,ARM,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.2527645241926,0.271571645297435,0.284379841916604,0.256794394189351,0.260102471958509,0.112563540940376
31,Australia,AU,AUS,Environmental Taxes,ECGTE,Domestic Currency,13780,14113,16349.9,17729.7,18020.3,18944.818,19421.555,20251.244,21053.7,22032.1,21844.688,22969.84,24293.61,23708,25723,26665,27354,35818.27,36592.5,29765,30703,30566,,,,
32,Australia,AU,AUS,Environmental Taxes,ECGTE,Percent of GDP,2.612,2.542,2.78,2.859,2.726,2.687,2.575,2.528,2.445,2.389,2.192,2.114,2.063,1.881,1.977,1.882,1.824,2.331,2.289,1.832,1.849,1.734,,,,
33,Australia,AU,AUS,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,10427,10509,12594,13485,13756,12445,12779,13283,13532,14352,14190.688,14824.84,15325.61,14906,16085,16843,16925,24378.27,24684.5,17590,17965,18428,,,,
34,Australia,AU,AUS,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,1.976,1.893,2.141,2.175,2.081,1.765,1.694,1.658,1.572,1.556,1.424,1.364,1.302,1.183,1.236,1.189,1.129,1.587,1.544,1.083,1.082,1.046,,,,
35,Australia,AU,AUS,Taxes on Pollution,ECGTEP,Domestic Currency,22,39,81,142.7,144.3,151.9,160,132.4,166.3,185,203,200,277,303,350,483,,,,759,867,,,,,
36,Australia,AU,AUS,Taxes on Pollution,ECGTEP,Percent of GDP,0.004,0.007,0.014,0.023,0.022,0.022,0.021,0.017,0.019,0.02,0.02,0.018,0.024,0.024,0.027,0.034,,,,0.047,0.052,,,,,
37,Australia,AU,AUS,Taxes on Resources,ECGTER,Domestic Currency,,,,,,,,,,,,,,,,,,200,140,,,,,,,
38,Australia,AU,AUS,Taxes on Resources,ECGTER,Percent of GDP,,,,,,,,,,,,,,,,,,0.013,0.009,,,,,,,
39,Australia,AU,AUS,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,3331,3565,3674.9,4102,4120,6347.918,6482.555,6835.844,7355.4,7495.1,7451,7945,8691,8499,9288,9339,9828,10474,10965,11416,11871,11285,,,,
40,Australia,AU,AUS,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,0.631,0.642,0.625,0.661,0.623,0.9,0.859,0.853,0.854,0.813,0.748,0.731,0.738,0.674,0.714,0.659,0.655,0.682,0.686,0.703,0.715,0.64,,,,
41,Austria,AT,AUT,Environmental Taxes,ECGTE,Domestic Currency,3614.958,4133.702,4634.719,4693.634,4901.996,5365.729,6003.228,6268.159,6555.311,6751.253,7019.132,6828.091,7058.953,7252.352,7104.901,7263.79,7874.001,8028.432,8095.592,8364.337,8585.779,8783.844,9274.098,9208,9369.6,
42,Austria,AT,AUT,Environmental Taxes,ECGTE,Percent of GDP,2.047,2.265,2.456,2.39,2.405,2.512,2.722,2.765,2.827,2.786,2.763,2.549,2.486,2.469,2.467,2.455,2.539,2.519,2.499,2.511,2.494,2.456,2.511,2.389,2.357,
43,Austria,AT,AUT,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,2296.2,2772.8,3059.4,2985.8,3099.9,3288.2,3635,3801,4009.32,4330.16,4350.2,4221.7,4452.8,4603,4455.72,4579.86,5005,5012,5059,4985,5149,5211.635,5477,5306.857,5345.816,
44,Austria,AT,AUT,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,1.3,1.519,1.621,1.521,1.521,1.539,1.648,1.676,1.729,1.787,1.712,1.576,1.568,1.567,1.547,1.548,1.614,1.573,1.562,1.496,1.496,1.457,1.483,1.377,1.345,
45,Austria,AT,AUT,Taxes on Pollution,ECGTEP,Domestic Currency,20.7,21.1,32.6,43.5,63.8,70.6,88.6,93.2,96.8,57.1,45.5,72.1,72.3,64.4,57.3,50.9,52.8,53,53,54,56,58.105,62.499,79.337,69.383,
46,Austria,AT,AUT,Taxes on Pollution,ECGTEP,Percent of GDP,0.012,0.012,0.017,0.022,0.031,0.033,0.04,0.041,0.042,0.024,0.018,0.027,0.025,0.022,0.02,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.017,0.021,0.017,
47,Austria,AT,AUT,Taxes on Resources,ECGTER,Domestic Currency,8.3,10.3,8.9,9.1,10.1,11.8,11.2,10,12.1,12,13.5,11.1,10.3,11,12.5,12,11,18,19,22.458,23.414,23.15,23.853,25.075,26.812,
48,Austria,AT,AUT,Taxes on Resources,ECGTER,Percent of GDP,0.005,0.006,0.005,0.005,0.005,0.006,0.005,0.004,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.006,0.006,0.007,0.007,0.006,0.006,0.007,0.007,
49,Austria,AT,AUT,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,1289.758,1329.502,1533.819,1655.234,1728.196,1995.129,2268.428,2363.959,2437.091,2351.993,2609.932,2523.191,2523.553,2573.952,2579.381,2621.03,2805.201,2945.432,2964.592,3302.879,3357.365,3490.954,3710.746,3796.731,3927.59,
50,Austria,AT,AUT,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,0.73,0.728,0.813,0.843,0.848,0.934,1.029,1.043,1.051,0.971,1.027,0.942,0.889,0.876,0.895,0.886,0.905,0.924,0.915,0.991,0.975,0.976,1.005,0.985,0.988,
51,"Bahamas, The",BS,BHS,Environmental Taxes,ECGTE,Domestic Currency,65.026,61.658,63.556,68.579,72.612,77.926,77.135,80.155,77.95,86.487,87.307,96.602,97.322,97.702,92.725,91.003,130.518,131.129,172.377,154.215,176.068,165.002,165.744,180.442,,
52,"Bahamas, The",BS,BHS,Environmental Taxes,ECGTE,Percent of GDP,1.896,1.708,1.004,1.004,0.945,0.965,0.927,0.903,0.879,0.955,0.888,0.95,0.917,0.928,0.929,0.901,1.296,1.223,1.632,1.413,1.498,1.382,1.364,1.452,,
53,"Bahamas, The",BS,BHS,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
54,"Bahamas, The",BS,BHS,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
55,"Bahamas, The",BS,BHS,Taxes on Pollution,ECGTEP,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
56,"Bahamas, The",BS,BHS,Taxes on Pollution,ECGTEP,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
57,"Bahamas, The",BS,BHS,Taxes on Resources,ECGTER,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
58,"Bahamas, The",BS,BHS,Taxes on Resources,ECGTER,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
59,"Bahamas, The",BS,BHS,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,65.026,61.658,63.556,68.579,72.612,77.926,77.135,80.155,77.95,86.487,87.307,96.602,97.322,97.702,92.725,91.003,130.518,131.129,172.377,154.215,176.068,165.002,165.744,180.442,,
60,"Bahamas, The",BS,BHS,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,1.896,1.708,1.004,1.004,0.945,0.965,0.927,0.903,0.879,0.955,0.888,0.95,0.917,0.928,0.929,0.901,1.296,1.223,1.632,1.413,1.498,1.382,1.364,1.452,,
61,Belgium,BE,BEL,Environmental Taxes,ECGTE,Domestic Currency,5095.503,5702.2,5963.7,6037.6,6248.9,6130.053,6326.1,6380.6,6675.9,7327.283,7649.4,7259.93,7623.21,7441.24,7608.88,8053.6,8533.5,8314.5,8128.8,8341.6,8646.3,9282.9,9900.2,10113.5,10149.383,
62,Belgium,BE,BEL,Environmental Taxes,ECGTE,Percent of GDP,2.421,2.661,2.661,2.595,2.579,2.391,2.393,2.335,2.374,2.469,2.467,2.233,2.219,2.116,2.196,2.218,2.27,2.153,2.069,2.07,2.075,2.158,2.225,2.197,2.131,
63,Belgium,BE,BEL,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,3157.2,3361,3491.2,3581.3,3598.7,3613.9,3632.2,3665.1,3894.4,4310.3,4475.1,4237.9,4516.9,4348,4483.4,4874.2,5125.1,5002.4,4766.6,5031.6,5304.1,5988.5,6491.3,6591.1,6617.3,
64,Belgium,BE,BEL,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,1.5,1.568,1.558,1.54,1.485,1.41,1.374,1.341,1.385,1.452,1.443,1.303,1.315,1.236,1.294,1.342,1.363,1.295,1.213,1.249,1.273,1.392,1.459,1.432,1.39,
65,Belgium,BE,BEL,Taxes on Pollution,ECGTEP,Domestic Currency,356.703,450.3,508.7,467.8,476.4,435.253,457.7,421.6,400.7,578.283,608,520.33,498.51,534.44,487.78,494.3,498.3,490.6,496.3,490.8,461.7,466.6,460.7,479.4,440.44,
66,Belgium,BE,BEL,Taxes on Pollution,ECGTEP,Percent of GDP,0.169,0.21,0.227,0.201,0.197,0.17,0.173,0.154,0.142,0.195,0.196,0.16,0.145,0.152,0.141,0.136,0.133,0.127,0.126,0.122,0.111,0.108,0.104,0.104,0.092,
67,Belgium,BE,BEL,Taxes on Resources,ECGTER,Domestic Currency,,,12.4,13.4,13.4,13,14.3,20.1,20.6,21.5,21.2,21.7,22.8,22.8,22.7,22.2,22.9,23.1,23.5,23.2,22.9,23.2,23.5,25.1,25.443,
68,Belgium,BE,BEL,Taxes on Resources,ECGTER,Percent of GDP,,,0.006,0.006,0.006,0.005,0.005,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,
69,Belgium,BE,BEL,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,1581.6,1890.9,1951.4,1975.1,2160.4,2067.9,2221.9,2273.8,2360.2,2417.2,2545.1,2480,2585,2536,2615,2662.9,2887.2,2798.4,2842.4,2796,2857.6,2804.6,2924.7,3017.9,3066.2,
70,Belgium,BE,BEL,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,0.751,0.882,0.871,0.849,0.892,0.807,0.841,0.832,0.839,0.814,0.821,0.763,0.752,0.721,0.755,0.733,0.768,0.725,0.723,0.694,0.686,0.652,0.657,0.655,0.644,
71,Belize,BZ,BLZ,Environmental Taxes,ECGTE,Domestic Currency,2.113,2.123,2.236,2.427,2.703,2.996,3.206,3.337,3.596,4.27,4.691,5.115,5.585,4.702,5.99,4.632,5.861,5.453,5.09,5.263,5.17,0.958,5.441,6.495,,
72,Belize,BZ,BLZ,Environmental Taxes,ECGTE,Percent of GDP,0.17,0.166,0.171,0.176,0.184,0.18,0.185,0.18,0.183,0.203,0.213,0.211,0.22,0.174,0.227,0.168,0.201,0.179,0.161,0.158,0.15,0.027,0.148,0.174,,
73,Belize,BZ,BLZ,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,2.806,1.542,2.641,1.974,1.518,1.25,1.019,0.872,0.826,1.607,,
74,Belize,BZ,BLZ,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.107,0.056,0.09,0.065,0.048,0.038,0.03,0.025,0.022,0.043,,
75,Belize,BZ,BLZ,Taxes on Pollution,ECGTEP,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
76,Belize,BZ,BLZ,Taxes on Pollution,ECGTEP,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
77,Belize,BZ,BLZ,Taxes on Resources,ECGTER,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
78,Belize,BZ,BLZ,Taxes on Resources,ECGTER,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
79,Belize,BZ,BLZ,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,2.113,2.123,2.236,2.427,2.703,2.996,3.206,3.337,3.596,4.27,4.691,5.115,5.585,4.466,3.184,3.09,3.22,3.479,3.572,4.013,4.151,0.086,4.615,4.888,,
80,Belize,BZ,BLZ,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,0.17,0.166,0.171,0.176,0.184,0.18,0.185,0.18,0.183,0.203,0.213,0.211,0.22,0.165,0.121,0.112,0.11,0.114,0.113,0.121,0.12,0.002,0.126,0.131,,
81,Bhutan,BT,BTN,Environmental Taxes,ECGTE,Domestic Currency,,,,,,,,,,,,,,,,,,,,,1463.419,1612.04,1684.902,2036.358,,
82,Bhutan,BT,BTN,Environmental Taxes,ECGTE,Percent of GDP,,,,,,,,,,,,,,,,,,,,,1.139,1.111,1.056,1.217,,
83,Bhutan,BT,BTN,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,,,,,,,,,,,,,,,,,,,,,581.803,844.927,819.362,1046.859,,
84,Bhutan,BT,BTN,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.453,0.582,0.513,0.626,,
85,Bhutan,BT,BTN,Taxes on Pollution,ECGTEP,Domestic Currency,,,,,,,,,,,,,,,,,,,,,50.423,70.216,92.132,96.799,,
86,Bhutan,BT,BTN,Taxes on Pollution,ECGTEP,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.039,0.048,0.058,0.058,,
87,Bhutan,BT,BTN,Taxes on Resources,ECGTER,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,Bhutan,BT,BTN,Taxes on Resources,ECGTER,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,Bhutan,BT,BTN,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,,,,,,,,,,,,,,,,,,,,,831.193,696.897,773.408,892.7,,
90,Bhutan,BT,BTN,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.647,0.48,0.485,0.534,,
91,Bolivia,BO,BOL,Environmental Taxes,ECGTE,Domestic Currency,20.8,61.3,81,270.3,279.7,1402.3,1314.3,1328,1107.2,1174.7,1909.8,2028.8,2376.9,2552.7,2265.2,2238.6,2484.3,2498.7,2849.8,3008.1,3098,3449.5,3309.9,3306.708,,
92,Bolivia,BO,BOL,Environmental Taxes,ECGTE,Percent of GDP,0.065,0.163,0.195,0.577,0.581,2.7,2.443,2.343,1.789,1.687,2.479,2.211,2.307,2.115,1.861,1.624,1.494,1.335,1.345,1.319,1.359,1.471,1.277,1.188,,
93,Bolivia,BO,BOL,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,10,51.2,69.8,258.7,268.2,1387.3,1299.9,1311.7,1087.3,1146.8,1878.2,1988.4,2344.4,2521.3,2227.5,2191.4,2432.2,2448,2778.5,2918.3,2995.7,3333.3,3187.8,3178.77,,
94,Bolivia,BO,BOL,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,0.031,0.136,0.168,0.553,0.557,2.672,2.417,2.314,1.756,1.647,2.438,2.167,2.276,2.089,1.83,1.589,1.463,1.308,1.312,1.28,1.314,1.421,1.23,1.142,,
95,Bolivia,BO,BOL,Taxes on Pollution,ECGTEP,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,Bolivia,BO,BOL,Taxes on Pollution,ECGTEP,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,Bolivia,BO,BOL,Taxes on Resources,ECGTER,Domestic Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,Bolivia,BO,BOL,Taxes on Resources,ECGTER,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,Bolivia,BO,BOL,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,10.8,10.1,11.2,11.6,11.5,15,14.4,16.3,19.9,27.9,31.6,40.4,32.5,31.4,37.7,47.2,52.1,50.7,71.3,89.8,102.3,116.2,122.1,127.938,,
100,Bolivia,BO,BOL,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,0.034,0.027,0.027,0.025,0.024,0.029,0.027,0.029,0.032,0.04,0.041,0.044,0.032,0.026,0.031,0.034,0.031,0.027,0.034,0.039,0.045,0.05,0.047,0.046,,
101,Botswana,BW,BWA,Environmental Taxes,ECGTE,Domestic Currency,,,,,,,,,,,,,,,,,,,,,366371000,386101000,505957000,573020000,619090000,
102,Botswana,BW,BWA,Environmental Taxes,ECGTE,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.266375723927671,0.234828610273336,0.303926468645009,0.332136882050557,0.346867178620205,
103,Botswana,BW,BWA,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,,,,,,,,,,,,,,,,,,,,,108992000,107399000,126406000,120660000,129990000,
104,Botswana,BW,BWA,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.0792443258399949,0.0653206231394014,0.0759316091990841,0.0699375871491749,0.0728315181134252,
105,Botswana,BW,BWA,Taxes on Pollution,ECGTEP,Domestic Currency,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
106,Botswana,BW,BWA,Taxes on Pollution,ECGTEP,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
107,Botswana,BW,BWA,Taxes on Resources,ECGTER,Domestic Currency,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
108,Botswana,BW,BWA,Taxes on Resources,ECGTER,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
109,Botswana,BW,BWA,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,,,,,,,,,,,,,,,,,,,,,257379000,278702000,379551000,452360000,489100000,
110,Botswana,BW,BWA,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.187131398087676,0.169507987133935,0.227994859445925,0.262199294901382,0.27403566050678,
111,Brazil,BR,BRA,Environmental Taxes,ECGTE,Domestic Currency,,,,,,,,,,,,,,,,,,,,,51930103409.4883,56280286478.7818,57970700372.0269,59926982421.7,59980296610.6342,
112,Brazil,BR,BRA,Environmental Taxes,ECGTE,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.866109732523703,0.897708295078816,0.880280829607614,0.855593604150744,0.809776027570512,
113,Brazil,BR,BRA,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,,,,,,,,,,,,,,,,,,,,,3271182044.47,6001239003.25,5821367778.67,3928130589.17,2775674653,
114,Brazil,BR,BRA,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.0545580004574878,0.0957237848460338,0.088397042381282,0.0560829741886978,0.0374735525055073,
115,Brazil,BR,BRA,Taxes on Pollution,ECGTEP,Domestic Currency,,,,,,,,,,,,,,,,,,,,,819547635.18048,965275446.341801,1071184707.3769,1115976397.26,1129722884.43,
116,Brazil,BR,BRA,Taxes on Pollution,ECGTEP,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.0136687226963408,0.0153967904115704,0.0162658611474657,0.0159330943974429,0.0152520504449628,
117,Brazil,BR,BRA,Taxes on Resources,ECGTER,Domestic Currency,,,,,,,,,,,,,,,,,,,,,15600276.0378506,14808317.65,14676586.78,15553973.93,14039050.24,
118,Brazil,BR,BRA,Taxes on Resources,ECGTER,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.000260187252081805,0.000236202592813362,0.000222862892868217,0.000222068258334605,0.000189537014263355,
119,Brazil,BR,BRA,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,,,,,,,,,,,,,,,,,,,,,47823773453.8,49298963711.54,51063471299.2,54867321461.34,56060860022.9642,
120,Brazil,BR,BRA,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.797622822117793,0.786351517228399,0.775395063185998,0.783355467306269,0.756860887605779,
121,Bulgaria,BG,BGR,Environmental Taxes,ECGTE,Domestic Currency,16.148,18.735,232.116,508.606,584.251,727.091,769.504,776.864,1056.501,1264.748,1362.648,1504.228,2026.557,2389.537,2078.803,2056.637,2166.355,2189.284,2297.289,2284.028,2573.622,2609.949,2706.666,2620.423,2876.286,
